Name,Date,Followers,,,,,,,,,,,,,,,,
Pete Buttigieg,7/19/19,1.28,,,,,,,,,,,,,,,,
Seth Moulton,7/19/19,0.144,,,,,,,,,,,,,,,,
Steve Bullock,7/19/19,0.178,,,,,,,,,,,,,,,,
Tim Ryan,7/19/19,0.0262,,,,,,,,,,,,,,,,
Tom Steyer,7/19/19,0.241,,,,,,,,,,,,,,,,
Tulsi Gabbard,7/19/19,0.434,,,,,,,,,,,,,,,,
Amy Klobuchar,7/29/19,0.733,,,,,,,,,,,,,,,,
Andrew Yang,7/29/19,0.538,,,,,,,,,,,,,,,,
Bernie Sanders,7/29/19,9.424,,,,,,,,,,,,,,,,
Beto O'Rourke,7/29/19,1.442,,,,,,,,,,,,,,,,
Bill De Blasio,7/29/19,0.165,,,,,,,,,,,,,,,,
Cory Booker,7/29/19,4.305,,,,,,,,,,,,,,,,
Elizabeth Warren,7/29/19,5.205,,,,,,,,,,,,,,,,
Jay Inslee,7/29/19,0.0764,,,,,,,,,,,,,,,,
Joe Biden,7/29/19,3.632,,,,,,,,,,,,,,,,
John Delaney,7/29/19,0.0278,,,,,,,,,,,,,,,,
John Hickenlooper,7/29/19,0.151,,,,,,,,,,,,,,,,
Julian Castro,7/29/19,0.332,,,,,,,,,,,,,,,,
Kamala Harris,7/29/19,2.99,,,,,,,,,,,,,,,,
Kirsten Gillibrand,7/29/19,1.449,,,,,,,,,,,,,,,,
Marianne Williamson,7/29/19,2.713,,,,,,,,,,,,,,,,
Michael Bennet,7/29/19,0.0287,,,,,,,,,,,,,,,,
Mike Gravel,7/29/19,0.126,,,,,,,,,,,,,,,,
Pete Buttigieg,7/29/19,1.288,,,,,,,,,,,,,,,,
Seth Moulton,7/29/19,0.147,,,,,,,,,,,,,,,,
Steve Bullock,7/29/19,0.179,,,,,,,,,,,,,,,,
Tim Ryan,7/29/19,0.0266,,,,,,,,,,,,,,,,
Tom Steyer,7/29/19,0.241,,,,,,,,,,,,,,,,
Tulsi Gabbard,7/29/19,0.442,,,,,,,,,,,,,,,,
Amy Klobuchar,8/1/19,0.736,,,,,,,,,,,,,,,,
Andrew Yang,8/1/19,0.575,,,,,,,,,,,,,,,,
Bernie Sanders,8/1/19,9.443,,,,,,,,,,,,,,,,
Beto O'Rourke,8/1/19,1.445,,,,,,,,,,,,,,,,
Bill De Blasio,8/1/19,0.166,,,,,,,,,,,,,,,,
Cory Booker,8/1/19,4.312,,,,,,,,,,,,,,,,
Elizabeth Warren,8/1/19,5.217,,,,,,,,,,,,,,,,
Jay Inslee,8/1/19,0.0826,,,,,,,,,,,,,,,,
Joe Biden,8/1/19,3.639,,,,,,,,,,,,,,,,
John Delaney,8/1/19,0.0318,,,,,,,,,,,,,,,,
John Hickenlooper,8/1/19,0.153,,,,,,,,,,,,,,,,
Julian Castro,8/1/19,0.34,,,,,,,,,,,,,,,,
Kamala Harris,8/1/19,3.005,,,,,,,,,,,,,,,,
Kirsten Gillibrand,8/1/19,1.453,,,,,,,,,,,,,,,,
Marianne Williamson,8/1/19,2.742,,,,,,,,,,,,,,,,
Michael Bennet,8/1/19,0.0315,,,,,,,,,,,,,,,,
Mike Gravel,8/1/19,0.129,,,,,,,,,,,,,,,,
Pete Buttigieg,8/1/19,1.308,,,,,,,,,,,,,,,,
Seth Moulton,8/1/19,0.147,,,,,,,,,,,,,,,,
Steve Bullock,8/1/19,0.182,,,,,,,,,,,,,,,,
Tim Ryan,8/1/19,0.0281,,,,,,,,,,,,,,,,
Tom Steyer,8/1/19,0.242,,,,,,,,,,,,,,,,
Tulsi Gabbard,8/1/19,0.477,,,,,,,,,,,,,,,,
Amy Klobuchar,8/2/19,0.737,,,,,,,,,,,,,,,,
Andrew Yang,8/2/19,0.592,,,,,,,,,,,,,,,,
Bernie Sanders,8/2/19,9.447,,,,,,,,,,,,,,,,
Beto O'Rourke,8/2/19,1.445,,,,,,,,,,,,,,,,
Bill De Blasio,8/2/19,0.166,,,,,,,,,,,,,,,,
Cory Booker,8/2/19,4.314,,,,,,,,,,,,,,,,
Elizabeth Warren,8/2/19,5.221,,,,,,,,,,,,,,,,
Jay Inslee,8/2/19,0.0858,,,,,,,,,,,,,,,,
Joe Biden,8/2/19,3.641,,,,,,,,,,,,,,,,
John Delaney,8/2/19,0.0325,,,,,,,,,,,,,,,,
John Hickenlooper,8/2/19,0.153,,,,,,,,,,,,,,,,
Julian Castro,8/2/19,0.343,,,,,,,,,,,,,,,,
Kamala Harris,8/2/19,3.008,,,,,,,,,,,,,,,,
Kirsten Gillibrand,8/2/19,1.454,,,,,,,,,,,,,,,,
Marianne Williamson,8/2/19,2.745,,,,,,,,,,,,,,,,
Michael Bennet,8/2/19,0.0322,,,,,,,,,,,,,,,,
Mike Gravel,8/2/19,0.129,,,,,,,,,,,,,,,,
Pete Buttigieg,8/2/19,1.312,,,,,,,,,,,,,,,,
Seth Moulton,8/2/19,0.147,,,,,,,,,,,,,,,,
Steve Bullock,8/2/19,0.182,,,,,,,,,,,,,,,,
Tim Ryan,8/2/19,0.0283,,,,,,,,,,,,,,,,
Tom Steyer,8/2/19,0.242,,,,,,,,,,,,,,,,
Tulsi Gabbard,8/2/19,0.503,,,,,,,,,,,,,,,,
Amy Klobuchar,8/5/19,0.74,,,,,,,,,,,,,,,,
Andrew Yang,8/5/19,0.608,,,,,,,,,,,,,,,,
Bernie Sanders,8/5/19,9.468,,,,,,,,,,,,,,,,
Beto O'Rourke,8/5/19,1.473,,,,,,,,,,,,,,,,
Bill De Blasio,8/5/19,0.166,,,,,,,,,,,,,,,,
Cory Booker,8/5/19,4.323,,,,,,,,,,,,,,,,
Elizabeth Warren,8/5/19,5.231,,,,,,,,,,,,,,,,
Jay Inslee,8/5/19,0.0904,,,,,,,,,,,,,,,,
Joe Biden,8/5/19,3.651,,,,,,,,,,,,,,,,
John Delaney,8/5/19,0.0338,,,,,,,,,,,,,,,,
John Hickenlooper,8/5/19,0.154,,,,,,,,,,,,,,,,
Julian Castro,8/5/19,0.348,,,,,,,,,,,,,,,,
Kamala Harris,8/5/19,3.021,,,,,,,,,,,,,,,,
Kirsten Gillibrand,8/5/19,1.456,,,,,,,,,,,,,,,,
Marianne Williamson,8/5/19,2.753,,,,,,,,,,,,,,,,
Michael Bennet,8/5/19,0.0327,,,,,,,,,,,,,,,,
Mike Gravel,8/5/19,0.13,,,,,,,,,,,,,,,,
Pete Buttigieg,8/5/19,1.336,,,,,,,,,,,,,,,,
Seth Moulton,8/5/19,0.147,,,,,,,,,,,,,,,,
Steve Bullock,8/5/19,0.183,,,,,,,,,,,,,,,,
Tim Ryan,8/5/19,0.0328,,,,,,,,,,,,,,,,
Tom Steyer,8/5/19,0.243,,,,,,,,,,,,,,,,
Tulsi Gabbard,8/5/19,0.516,,,,,,,,,,,,,,,,
Amy Klobuchar,8/14/19,0.745,,,,,,,,,,,,,,,,
Andrew Yang,8/14/19,0.68,,,,,,,,,,,,,,,,
Bernie Sanders,8/14/19,9.535,,,,,,,,,,,,,,,,
Beto O'Rourke,8/14/19,1.539,,,,,,,,,,,,,,,,
Bill De Blasio,8/14/19,0.167,,,,,,,,,,,,,,,,
Cory Booker,8/14/19,4.334,,,,,,,,,,,,,,,,
Elizabeth Warren,8/14/19,5.255,,,,,,,,,,,,,,,,
Jay Inslee,8/14/19,0.0945,,,,,,,,,,,,,,,,
Joe Biden,8/14/19,3.673,,,,,,,,,,,,,,,,
John Delaney,8/14/19,0.0347,,,,,,,,,,,,,,,,
John Hickenlooper,8/14/19,0.155,,,,,,,,,,,,,,,,
Julian Castro,8/14/19,0.365,,,,,,,,,,,,,,,,
Kamala Harris,8/14/19,3.048,,,,,,,,,,,,,,,,
Kirsten Gillibrand,8/14/19,1.46,,,,,,,,,,,,,,,,
Marianne Williamson,8/14/19,2.757,,,,,,,,,,,,,,,,
Michael Bennet,8/14/19,0.037,,,,,,,,,,,,,,,,
Pete Buttigieg,8/14/19,1.369,,,,,,,,,,,,,,,,
Seth Moulton,8/14/19,0.147,,,,,,,,,,,,,,,,
Steve Bullock,8/14/19,0.184,,,,,,,,,,,,,,,,
Tim Ryan,8/14/19,0.0356,,,,,,,,,,,,,,,,
Tom Steyer,8/14/19,0.244,,,,,,,,,,,,,,,,
Tulsi Gabbard,8/14/19,0.532,,,,,,,,,,,,,,,,
Amy Klobuchar,8/20/19,0.748,,,,,,,,,,,,,,,,
Andrew Yang,8/20/19,0.706,,,,,,,,,,,,,,,,
Bernie Sanders,8/20/19,9.568,,,,,,,,,,,,,,,,
Beto O'Rourke,8/20/19,1.549,,,,,,,,,,,,,,,,
Bill De Blasio,8/20/19,0.168,,,,,,,,,,,,,,,,
Cory Booker,8/20/19,4.339,,,,,,,,,,,,,,,,
Elizabeth Warren,8/20/19,5.27,,,,,,,,,,,,,,,,
Jay Inslee,8/20/19,0.0969,,,,,,,,,,,,,,,,
Joe Biden,8/20/19,3.684,,,,,,,,,,,,,,,,
John Delaney,8/20/19,0.0352,,,,,,,,,,,,,,,,
Julian Castro,8/20/19,0.371,,,,,,,,,,,,,,,,
Kamala Harris,8/20/19,3.063,,,,,,,,,,,,,,,,
Kirsten Gillibrand,8/20/19,1.461,,,,,,,,,,,,,,,,
Marianne Williamson,8/20/19,2.759,,,,,,,,,,,,,,,,
Michael Bennet,8/20/19,0.0379,,,,,,,,,,,,,,,,
Pete Buttigieg,8/20/19,1.38,,,,,,,,,,,,,,,,
Seth Moulton,8/20/19,0.147,,,,,,,,,,,,,,,,
Steve Bullock,8/20/19,0.184,,,,,,,,,,,,,,,,
Tim Ryan,8/20/19,0.0364,,,,,,,,,,,,,,,,
Tom Steyer,8/20/19,0.244,,,,,,,,,,,,,,,,
Tulsi Gabbard,8/20/19,0.536,,,,,,,,,,,,,,,,
Amy Klobuchar,9/5/19,0.757,,,,,,,,,,,,,,,,
Andrew Yang,9/5/19,0.756,,,,,,,,,,,,,,,,
Bernie Sanders,9/5/19,9.631,,,,,,,,,,,,,,,,
Beto O'Rourke,9/5/19,1.571,,,,,,,,,,,,,,,,
Bill De Blasio,9/5/19,0.168,,,,,,,,,,,,,,,,
Cory Booker,9/5/19,4.347,,,,,,,,,,,,,,,,
Elizabeth Warren,9/5/19,5.306,,,,,,,,,,,,,,,,
Joe Biden,9/5/19,3.712,,,,,,,,,,,,,,,,
John Delaney,9/5/19,0.0359,,,,,,,,,,,,,,,,
Julian Castro,9/5/19,0.381,,,,,,,,,,,,,,,,
Kamala Harris,9/5/19,3.097,,,,,,,,,,,,,,,,
Marianne Williamson,9/5/19,2.762,,,,,,,,,,,,,,,,
Michael Bennet,9/5/19,0.039,,,,,,,,,,,,,,,,
Pete Buttigieg,9/5/19,1.401,,,,,,,,,,,,,,,,
Steve Bullock,9/5/19,0.185,,,,,,,,,,,,,,,,
Tim Ryan,9/5/19,0.0373,,,,,,,,,,,,,,,,
Tom Steyer,9/5/19,0.245,,,,,,,,,,,,,,,,
Tulsi Gabbard,9/5/19,0.543,,,,,,,,,,,,,,,,
Amy Klobuchar,9/11/19,0.759,,,,,,,,,,,,,,,,
Andrew Yang,9/11/19,0.796,,,,,,,,,,,,,,,,
Bernie Sanders,9/11/19,9.653,,,,,,,,,,,,,,,,
Beto O'Rourke,9/11/19,1.577,,,,,,,,,,,,,,,,
Bill De Blasio,9/11/19,0.169,,,,,,,,,,,,,,,,
Cory Booker,9/11/19,4.348,,,,,,,,,,,,,,,,
Elizabeth Warren,9/11/19,5.317,,,,,,,,,,,,,,,,
Joe Biden,9/11/19,3.72,,,,,,,,,,,,,,,,
John Delaney,9/11/19,0.0361,,,,,,,,,,,,,,,,
Julian Castro,9/11/19,0.382,,,,,,,,,,,,,,,,
Kamala Harris,9/11/19,3.106,,,,,,,,,,,,,,,,
Marianne Williamson,9/11/19,2.762,,,,,,,,,,,,,,,,
Michael Bennet,9/11/19,0.0392,,,,,,,,,,,,,,,,
Pete Buttigieg,9/11/19,1.409,,,,,,,,,,,,,,,,
Steve Bullock,9/11/19,0.186,,,,,,,,,,,,,,,,
Tim Ryan,9/11/19,0.0373,,,,,,,,,,,,,,,,
Tom Steyer,9/11/19,0.245,,,,,,,,,,,,,,,,
Tulsi Gabbard,9/11/19,0.553,,,,,,,,,,,,,,,,
Amy Klobuchar,9/14/19,0.762,,,,,,,,,,,,,,,,
Andrew Yang,9/14/19,0.835,,,,,,,,,,,,,,,,
Bernie Sanders,9/14/19,9.668,,,,,,,,,,,,,,,,
Beto O'Rourke,9/14/19,1.597,,,,,,,,,,,,,,,,
Bill De Blasio,9/14/19,0.169,,,,,,,,,,,,,,,,
Cory Booker,9/14/19,4.353,,,,,,,,,,,,,,,,
Elizabeth Warren,9/14/19,5.326,,,,,,,,,,,,,,,,
Joe Biden,9/14/19,3.729,,,,,,,,,,,,,,,,
John Delaney,9/14/19,0.0362,,,,,,,,,,,,,,,,
Julian Castro,9/14/19,0.385,,,,,,,,,,,,,,,,
Kamala Harris,9/14/19,3.115,,,,,,,,,,,,,,,,
Marianne Williamson,9/14/19,2.763,,,,,,,,,,,,,,,,
Michael Bennet,9/14/19,0.0393,,,,,,,,,,,,,,,,
Pete Buttigieg,9/14/19,1.427,,,,,,,,,,,,,,,,
Steve Bullock,9/14/19,0.186,,,,,,,,,,,,,,,,
Tim Ryan,9/14/19,0.0373,,,,,,,,,,,,,,,,
Tom Steyer,9/14/19,0.245,,,,,,,,,,,,,,,,
Tulsi Gabbard,9/14/19,0.556,,,,,,,,,,,,,,,,
Amy Klobuchar,9/16/19,0.764,,,,,,,,,,,,,,,,
Andrew Yang,9/16/19,0.852,,,,,,,,,,,,,,,,
Bernie Sanders,9/16/19,9.678,,,,,,,,,,,,,,,,
Beto O'Rourke,9/16/19,1.602,,,,,,,,,,,,,,,,
Bill De Blasio,9/16/19,0.169,,,,,,,,,,,,,,,,
Cory Booker,9/16/19,4.355,,,,,,,,,,,,,,,,
Elizabeth Warren,9/16/19,5.333,,,,,,,,,,,,,,,,
Joe Biden,9/16/19,3.733,,,,,,,,,,,,,,,,
John Delaney,9/16/19,0.0362,,,,,,,,,,,,,,,,
Julian Castro,9/16/19,0.387,,,,,,,,,,,,,,,,
Kamala Harris,9/16/19,3.121,,,,,,,,,,,,,,,,
Marianne Williamson,9/16/19,2.764,,,,,,,,,,,,,,,,
Michael Bennet,9/16/19,0.0393,,,,,,,,,,,,,,,,
Pete Buttigieg,9/16/19,1.433,,,,,,,,,,,,,,,,
Steve Bullock,9/16/19,0.186,,,,,,,,,,,,,,,,
Tim Ryan,9/16/19,0.0373,,,,,,,,,,,,,,,,
Tom Steyer,9/16/19,0.245,,,,,,,,,,,,,,,,
Tulsi Gabbard,9/16/19,0.562,,,,,,,,,,,,,,,,
Amy Klobuchar,9/21/19,0.766,,,,,,,,,,,,,,,,
Andrew Yang,9/21/19,0.871,,,,,,,,,,,,,,,,
Bernie Sanders,9/21/19,9.69,,,,,,,,,,,,,,,,
Beto O'Rourke,9/21/19,1.609,,,,,,,,,,,,,,,,
Cory Booker,9/21/19,4.357,,,,,,,,,,,,,,,,
Elizabeth Warren,9/21/19,5.341,,,,,,,,,,,,,,,,
Joe Biden,9/21/19,3.742,,,,,,,,,,,,,,,,
John Delaney,9/21/19,0.0363,,,,,,,,,,,,,,,,
Julian Castro,9/21/19,0.388,,,,,,,,,,,,,,,,
Kamala Harris,9/21/19,3.127,,,,,,,,,,,,,,,,
Marianne Williamson,9/21/19,2.763,,,,,,,,,,,,,,,,
Michael Bennet,9/21/19,0.0395,,,,,,,,,,,,,,,,
Pete Buttigieg,9/21/19,1.439,,,,,,,,,,,,,,,,
Steve Bullock,9/21/19,0.186,,,,,,,,,,,,,,,,
Tim Ryan,9/21/19,0.0374,,,,,,,,,,,,,,,,
Tom Steyer,9/21/19,0.245,,,,,,,,,,,,,,,,
Tulsi Gabbard,9/21/19,0.571,,,,,,,,,,,,,,,,
Amy Klobuchar,10/8/19,0.774,,,,,,,,,,,,,,,,
Andrew Yang,10/8/19,0.919,,,,,,,,,,,,,,,,
Bernie Sanders,10/8/19,9.776,,,,,,,,,,,,,,,,
Beto O'Rourke,10/8/19,1.635,,,,,,,,,,,,,,,,
Cory Booker,10/8/19,4.368,,,,,,,,,,,,,,,,
Elizabeth Warren,10/8/19,5.398,,,,,,,,,,,,,,,,
Joe Biden,10/8/19,3.833,,,,,,,,,,,,,,,,
John Delaney,10/8/19,0.0366,,,,,,,,,,,,,,,,
Julian Castro,10/8/19,0.4,,,,,,,,,,,,,,,,
Kamala Harris,10/8/19,3.171,,,,,,,,,,,,,,,,
Marianne Williamson,10/8/19,2.762,,,,,,,,,,,,,,,,
Michael Bennet,10/8/19,0.0397,,,,,,,,,,,,,,,,
Pete Buttigieg,10/8/19,1.466,,,,,,,,,,,,,,,,
Steve Bullock,10/8/19,0.186,,,,,,,,,,,,,,,,
Tim Ryan,10/8/19,0.0374,,,,,,,,,,,,,,,,
Tom Steyer,10/8/19,0.245,,,,,,,,,,,,,,,,
Tulsi Gabbard,10/8/19,0.584,,,,,,,,,,,,,,,,
Amy Klobuchar,10/14/19,0.778,,,,,,,,,,,,,,,,
Andrew Yang,10/14/19,0.931,,,,,,,,,,,,,,,,
Bernie Sanders,10/14/19,9.797,,,,,,,,,,,,,,,,
Beto O'Rourke,10/14/19,1.64,,,,,,,,,,,,,,,,
Cory Booker,10/14/19,4.371,,,,,,,,,,,,,,,,
Elizabeth Warren,10/14/19,5.419,,,,,,,,,,,,,,,,
Joe Biden,10/14/19,3.864,,,,,,,,,,,,,,,,
John Delaney,10/14/19,0.0366,,,,,,,,,,,,,,,,
Julian Castro,10/14/19,0.403,,,,,,,,,,,,,,,,
Kamala Harris,10/14/19,3.188,,,,,,,,,,,,,,,,
Marianne Williamson,10/14/19,2.762,,,,,,,,,,,,,,,,
Michael Bennet,10/14/19,0.0398,,,,,,,,,,,,,,,,
Pete Buttigieg,10/14/19,1.473,,,,,,,,,,,,,,,,
Steve Bullock,10/14/19,0.187,,,,,,,,,,,,,,,,
Tim Ryan,10/14/19,0.0374,,,,,,,,,,,,,,,,
Tom Steyer,10/14/19,0.246,,,,,,,,,,,,,,,,
Tulsi Gabbard,10/14/19,0.59,,,,,,,,,,,,,,,,
Amy Klobuchar,10/17/19,0.786,,,,,,,,,,,,,,,,
Andrew Yang,10/17/19,0.951,,,,,,,,,,,,,,,,
Bernie Sanders,10/17/19,9.83,,,,,,,,,,,,,,,,
Beto O'Rourke,10/17/19,1.65,,,,,,,,,,,,,,,,
Cory Booker,10/17/19,4.377,,,,,,,,,,,,,,,,
Elizabeth Warren,10/17/19,5.434,,,,,,,,,,,,,,,,
Joe Biden,10/17/19,3.881,,,,,,,,,,,,,,,,
John Delaney,10/17/19,0.0367,,,,,,,,,,,,,,,,
Julian Castro,10/17/19,0.409,,,,,,,,,,,,,,,,
Kamala Harris,10/17/19,3.198,,,,,,,,,,,,,,,,
Marianne Williamson,10/17/19,2.762,,,,,,,,,,,,,,,,
Michael Bennet,10/17/19,0.0399,,,,,,,,,,,,,,,,
Pete Buttigieg,10/17/19,1.485,,,,,,,,,,,,,,,,
Steve Bullock,10/17/19,0.187,,,,,,,,,,,,,,,,
Tim Ryan,10/17/19,0.0372,,,,,,,,,,,,,,,,
Tom Steyer,10/17/19,0.247,,,,,,,,,,,,,,,,
Tulsi Gabbard,10/17/19,0.607,,,,,,,,,,,,,,,,
Amy Klobuchar,11/4/19,0.805,,,,,,,,,,,,,,,,
Andrew Yang,11/4/19,0.991,,,,,,,,,,,,,,,,
Bernie Sanders,11/4/19,9.929,,,,,,,,,,,,,,,,
Cory Booker,11/4/19,4.393,,,,,,,,,,,,,,,,
Elizabeth Warren,11/4/19,5.476,,,,,,,,,,,,,,,,
Joe Biden,11/4/19,3.93,,,,,,,,,,,,,,,,
John Delaney,11/4/19,0.0371,,,,,,,,,,,,,,,,
Julian Castro,11/4/19,0.42,,,,,,,,,,,,,,,,
Kamala Harris,11/4/19,3.231,,,,,,,,,,,,,,,,
Marianne Williamson,11/4/19,2.764,,,,,,,,,,,,,,,,
Michael Bennet,11/4/19,0.0409,,,,,,,,,,,,,,,,
Pete Buttigieg,11/4/19,1.518,,,,,,,,,,,,,,,,
Steve Bullock,11/4/19,0.188,,,,,,,,,,,,,,,,
Tom Steyer,11/4/19,0.248,,,,,,,,,,,,,,,,
Tulsi Gabbard,11/4/19,0.722,,,,,,,,,,,,,,,,
Amy Klobuchar,11/5/19,0.806,,,,,,,,,,,,,,,,
Amy Klobuchar,1/2/20,0.843,,,,,,,,,,,,,,,,
Andrew Yang,1/2/20,1.131,,,,,,,,,,,,,,,,
Bernie Sanders,1/2/20,10.149,,,,,,,,,,,,,,,,
Cory Booker,1/2/20,4.414,,,,,,,,,,,,,,,,
Elizabeth Warren,1/2/20,5.531,,,,,,,,,,,,,,,,
Joe Biden,1/2/20,4.052,,,,,,,,,,,,,,,,
John Delaney,1/2/20,0.038,,,,,,,,,,,,,,,,
Marianne Williamson,1/2/20,2.763,,,,,,,,,,,,,,,,
Michael Bennet,1/2/20,0.0424,,,,,,,,,,,,,,,,
Michael Bloomberg,1/2/20,2.369,,,,,,,,,,,,,,,,
Pete Buttigieg,1/2/20,1.572,,,,,,,,,,,,,,,,
Tom Steyer,1/2/20,0.254,,,,,,,,,,,,,,,,
Tulsi Gabbard,1/2/20,0.763,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,
