Name,Date,Followers,,,,,,,,,,,,,,,,
Jay Inslee,5/14/19,0.0518,,,,,,,,,,,,,,,,
Joe Biden,5/14/19,3.564,,,,,,,,,,,,,,,,
John Delaney,5/14/19,0.0203,,,,,,,,,,,,,,,,
John Hickenlooper,5/14/19,0.143,,,,,,,,,,,,,,,,
Julian Castro,5/14/19,0.213,,,,,,,,,,,,,,,,
Kamala Harris,5/14/19,2.648,,,,,,,,,,,,,,,,
Kirsten Gillibrand,5/14/19,1.411,,,,,,,,,,,,,,,,
Marianne Williamson,5/14/19,2.611,,,,,,,,,,,,,,,,
Michael Bennet,5/14/19,0.0211,,,,,,,,,,,,,,,,
Mike Gravel,5/14/19,0.0785,,,,,,,,,,,,,,,,
Pete Buttigieg,5/14/19,1.04,,,,,,,,,,,,,,,,
Seth Moulton,5/14/19,0.139,,,,,,,,,,,,,,,,
Steve Bullock,5/15/19,0.17,,,,,,,,,,,,,,,,
Tim Ryan,5/14/19,0.0202,,,,,,,,,,,,,,,,
Tulsi Gabbard,5/14/19,0.353,,,,,,,,,,,,,,,,
Amy Klobuchar,5/22/19,0.697,,,,,,,,,,,,,,,,
Andrew Yang,5/22/19,0.274,,,,,,,,,,,,,,,,
Bernie Sanders,5/22/19,9.284,,,,,,,,,,,,,,,,
Beto O'Rourke,5/22/19,1.429,,,,,,,,,,,,,,,,
Bill De Blasio,5/22/19,0.154,,,,,,,,,,,,,,,,
Cory Booker,5/22/19,4.25,,,,,,,,,,,,,,,,
Elizabeth Warren,5/22/19,5.019,,,,,,,,,,,,,,,,
Eric Swalwell,5/22/19,0.0862,,,,,,,,,,,,,,,,
Jay Inslee,5/22/19,0.0557,,,,,,,,,,,,,,,,
Joe Biden,5/22/19,3.574,,,,,,,,,,,,,,,,
John Delaney,5/22/19,0.0207,,,,,,,,,,,,,,,,
John Hickenlooper,5/22/19,0.144,,,,,,,,,,,,,,,,
Julian Castro,5/22/19,0.214,,,,,,,,,,,,,,,,
Kamala Harris,5/22/19,2.666,,,,,,,,,,,,,,,,
Kirsten Gillibrand,5/22/19,1.415,,,,,,,,,,,,,,,,
Marianne Williamson,5/22/19,2.611,,,,,,,,,,,,,,,,
Michael Bennet,5/22/19,0.0214,,,,,,,,,,,,,,,,
Mike Gravel,5/22/19,0.0819,,,,,,,,,,,,,,,,
Pete Buttigieg,5/22/19,1.072,,,,,,,,,,,,,,,,
Seth Moulton,5/22/19,0.139,,,,,,,,,,,,,,,,
Steve Bullock,5/22/19,0.172,,,,,,,,,,,,,,,,
Tim Ryan,5/22/19,0.0205,,,,,,,,,,,,,,,,
Tulsi Gabbard,5/22/19,0.363,,,,,,,,,,,,,,,,
Amy Klobuchar,6/2/19,0.701,,,,,,,,,,,,,,,,
Andrew Yang,6/2/19,0.288,,,,,,,,,,,,,,,,
Bernie Sanders,6/2/19,9.3,,,,,,,,,,,,,,,,
Beto O'Rourke,6/2/19,1.432,,,,,,,,,,,,,,,,
Bill De Blasio,6/2/19,0.155,,,,,,,,,,,,,,,,
Cory Booker,6/2/19,4.253,,,,,,,,,,,,,,,,
Elizabeth Warren,6/2/19,5.043,,,,,,,,,,,,,,,,
Eric Swalwell,6/2/19,0.0891,,,,,,,,,,,,,,,,
Jay Inslee,6/2/19,0.0591,,,,,,,,,,,,,,,,
Joe Biden,6/2/19,3.586,,,,,,,,,,,,,,,,
John Delaney,6/2/19,0.0211,,,,,,,,,,,,,,,,
John Hickenlooper,6/2/19,0.145,,,,,,,,,,,,,,,,
Julian Castro,6/2/19,0.216,,,,,,,,,,,,,,,,
Kamala Harris,6/2/19,2.688,,,,,,,,,,,,,,,,
Kirsten Gillibrand,6/2/19,1.419,,,,,,,,,,,,,,,,
Marianne Williamson,6/2/19,2.613,,,,,,,,,,,,,,,,
Michael Bennet,6/2/19,0.0222,,,,,,,,,,,,,,,,
Mike Gravel,6/2/19,0.0888,,,,,,,,,,,,,,,,
Pete Buttigieg,6/2/19,1.11,,,,,,,,,,,,,,,,
Seth Moulton,6/2/19,0.141,,,,,,,,,,,,,,,,
Steve Bullock,6/2/19,0.174,,,,,,,,,,,,,,,,
Tim Ryan,6/2/19,0.021,,,,,,,,,,,,,,,,
Tulsi Gabbard,6/2/19,0.37,,,,,,,,,,,,,,,,
Amy Klobuchar,6/7/19,0.702,,,,,,,,,,,,,,,,
Andrew Yang,6/7/19,0.293,,,,,,,,,,,,,,,,
Bernie Sanders,6/7/19,9.307,,,,,,,,,,,,,,,,
Beto O'Rourke,6/7/19,1.432,,,,,,,,,,,,,,,,
Bill De Blasio,6/7/19,0.156,,,,,,,,,,,,,,,,
Cory Booker,6/7/19,4.254,,,,,,,,,,,,,,,,
Elizabeth Warren,6/7/19,5.051,,,,,,,,,,,,,,,,
Eric Swalwell,6/7/19,0.0902,,,,,,,,,,,,,,,,
Jay Inslee,6/7/19,0.0614,,,,,,,,,,,,,,,,
Joe Biden,6/7/19,3.589,,,,,,,,,,,,,,,,
John Delaney,6/7/19,0.0216,,,,,,,,,,,,,,,,
John Hickenlooper,6/7/19,0.145,,,,,,,,,,,,,,,,
Julian Castro,6/7/19,0.217,,,,,,,,,,,,,,,,
Kamala Harris,6/7/19,2.695,,,,,,,,,,,,,,,,
Kirsten Gillibrand,6/7/19,1.421,,,,,,,,,,,,,,,,
Marianne Williamson,6/7/19,2.613,,,,,,,,,,,,,,,,
Michael Bennet,6/7/19,0.0225,,,,,,,,,,,,,,,,
Mike Gravel,6/7/19,0.0914,,,,,,,,,,,,,,,,
Pete Buttigieg,6/7/19,1.12,,,,,,,,,,,,,,,,
Seth Moulton,6/7/19,0.142,,,,,,,,,,,,,,,,
Steve Bullock,6/7/19,0.174,,,,,,,,,,,,,,,,
Tim Ryan,6/7/19,0.0213,,,,,,,,,,,,,,,,
Tulsi Gabbard,6/7/19,0.373,,,,,,,,,,,,,,,,
Amy Klobuchar,6/14/19,0.704,,,,,,,,,,,,,,,,
Andrew Yang,6/14/19,0.306,,,,,,,,,,,,,,,,
Bernie Sanders,6/14/19,9.314,,,,,,,,,,,,,,,,
Beto O'Rourke,6/14/19,1.432,,,,,,,,,,,,,,,,
Bill De Blasio,6/14/19,0.156,,,,,,,,,,,,,,,,
Cory Booker,6/14/19,4.255,,,,,,,,,,,,,,,,
Elizabeth Warren,6/14/19,5.063,,,,,,,,,,,,,,,,
Eric Swalwell,6/14/19,0.0914,,,,,,,,,,,,,,,,
Jay Inslee,6/14/19,0.0629,,,,,,,,,,,,,,,,
Joe Biden,6/14/19,3.598,,,,,,,,,,,,,,,,
